;text
913;['data', 'apaan', 'ky', 'gitu', 'doang', 'drun', 'drun', 'data', 'vaksin', 'reaksinya', 'sampai', 'pada', 'kegirangan', 'jungkir', 'balik', 'kebakaran', 'jenggot', 'pake', 'tagar', 'lambang', 'kegoblokan', 'kadrun', 'lg', 'ah']
914;['dia', 'b', 'dut', 'bukan', 'hacker']
915;['hanya', 'untuk', 'pengalihan', 'isu', 'dia', 'b', 'dut', 'bukan', 'hacker']
916;['heran', 'biang', 'kerok', 'dazal', 'bjorkan', 'bisa', 'bisanya', 'dielu', 'elukan', 'para', 'kadruni', 'maunya', 'ini', 'negara', 'chao', 'seperti', 'irak', 'syiriaafganistan', 'gitu']
917;['bahkan', 'para', 'pejabat', 'pejabat', 'tinggi', 'yg', 'd', 'spill', 'bjorka', 'pun', 'samp', 'tremor', 'semua']
918;['ent', 'kadang', 'kadang']
919;['nih', 'biodatanya', 'puan', 'mau', 'ga', 'wkkww', 'lu', 'ga', 'bs', 'di', 'dm']
920;['cuman', 'punya', 'data', 'tapi', 'brani', 'bilang', 'kalo', 'dia', 'dalangnya', 'pertanyaannya', 'dia', 'tau', 'dari', 'mana']
921;['hahaha', 'ketahuan', 'yang', 'benci', 'bjorka', 'untuk', 'kaum', 'sekolam', 'sesembahannya', 'lag', 'pada', 'ditelanjangi', 'kodok', 'pada', 'meradang']
922;['pertanyaannya', 'si', 'desi', 'daftar', 'pake', 'nik', 'dan', 'kk', 'siapa', 'ya', 'kan', 'satu', 'ktp', 'dibata', 'nomor']
923;['baru', 'aja', 'mau', 'liat', 'eh', 'akun', 'sudah', 'di', 'tangguhkan']
924;['ga', 'mesti', 'bosku', 'emg', 'menteri', 'udahudah', 'dgn', 'background', 'pendidikan', 'udah', 'bawa', 'pendidikan', 'indonesia', 'semaju', 'apa', 'dari', 'jaman', 'dinosauru', 'amp', 'skrg', 'masih', 'jalan', 'di', 'tempat', 'yang', 'pent', 'bisa', 'bawa', 'perubahan', 'maju', 'apa', 'engga']
925;['good', 'for', 'us', 'kita', 'butuh', 'menteri', 'yg', 'kompeten', 'di', 'bidangnya', 'pak']
926;['heck', 'itu', 'pakai', 'linux', 'dong', 'sori', 'aja', 'data', 'kalian', 'belum', 'pada', 'laku', 'buat', 'beli', 'ipong']
927;['udh', 'kali', 'bjorkabjorkan', 'di', 'suspend', 'huftt']
928;['bodonya', 'dia', 'hacker', 'ko', 'go', 'public', 'kaya', 'bocil', 'yg', 'masih', 'baru', 'belajar', 'smpe', 'bikin', 'chanel', 'telgram', 'panso', 'doank', 'sok', 'pale', 'hacker', 'pdahal', 'msih', 'kosong']
929;['udah', 'ilang', 'hahahaa']
930;['ham', 'diam', 'sajatkut', 'nggak', 'dpt', 'jatah']
931;['tapi', 'dari', 'dulu', 'fc', 'ktpkk', 'jadi', 'bungku', 'gorengan', 'bg', 'pinter']
932;['gw', 'yakin', 'bjorka', 'ini', 'bkan', 'orang', 'ase', 'dari', 'gaya', 'b', 'inggri', 'nya', 'jga', 'ke', 'indoaan', 'banget']
933;['bjorka', 'dalam', 'kutipannya', 'menyebutkan', 'tentang', 'presiden', 'ri', 'ke', 'soeharto', 'naskah', 'tersebut', 'juga', 'tidak', 'jela', 'kemana', 'hilangnya', 'dan', 'siapa', 'yang', 'menghilangkannya', 'karena', 'pelaku', 'sejarah', 'peristiwa', 'lahirnya', 'supersemar', 'ini', 'sudah', 'meningg', 'dunia']
934;['buat', 'temanteman', 'yang', 'ikutikutan', 'share', 'data', 'pribadi', 'orang', 'lain', 'pleas', 'stop', 'itu', 'tindakan', 'tidak', 'benar', 'ingat', 'guy', 'kalian', 'bukan', 'hacker']
935;['sebagian', 'rakyat', 'munkin', 'begotp', 'sebagian', 'trpaksakarena', 'klo', 'tdk', 'fucsin', 'akan', 'dpersulit', 'aksesnya']
936;['mau', 'dia', 'bocah', 'mau', 'dia', 'anak', 'baru', 'gede', 'pencapaian', 'dia', 'ya', 'cuma', 'ingin', 'diakui', 'org', 'tolol', 'indo', 'akan', 'kemampuannya', 'di', 'bidang', 'peretasan', 'gk', 'akan', 'bisa', 'menurunkan', 'harga', 'bbm', 'cabai', 'dll', 'gk', 'bisa', 'merubah', 'calon', 'presiden', 'selanjutnya', 'gak', 'bisa']
937;['hacker', 'bjorka', 'ungkap', 'alasan', 'mengapa', 'me', 'acakacak', 'data', 'pemerintah', 'indonesia', 'simak', 'liputannya', 'di', 'video', 'berikut']
938;['di', 'blok', 'twitter', 'bukan', 'ancaman', 'si', 'bagi', 'dia', 'menurut', 'gua', 'toh', 'dia', 'juga', 'sudh', 'megang', 'rahasia', 'dokumen', 'data', 'pent', 'negara', 'kitabahkan', 'data', 'pribadi', 'wni', 'udh', 'di', 'tangan', 'dia', 'smuajdi', 'mau', 'dia', 'di', 'blokir', 'twt', 'juga', 'itu', 'gabak', 'jadi', 'ancaman', 'bagi', 'dia', 'bro']
939;['ya', 'masih', 'satu', 'kelompok', 'sma', 'si', 'pale', 'hacker', 'awoakwok']
940;['bangkitnya', 'kesadaran', 'dari', 'sistem', 'yang', 'zolim']
941;['aturan', 'hnya', 'brlaku', 'tuk', 'masyarakt', 'bawahtuk', 'pejabat', 'ma', 'aparat', 'brlaku', 'pengecualiannggak', 'percaya', 'tnya', 'aja', 'ma', 'wapresdah', 'berapa', 'kli', 'boster']
942;['wkwkwkw', 'opposit', 'aja', 'ga', 'ketangkep', 'apalagi', 'ini', 'tier', 'gold', 'mikir']
943;['jangan', 'bangga', 'krna', 'dia', 'bisa', 'nge', 'ultimatum', 'pemerintah', 'skrng', 'data', 'pribadi', 'kita', 'di', 'tangan', 'dia', 'smua', 'bro', 'dia', 'juga', 'manusia', 'pasti', 'bisa', 'khilaf', 'kapanpun', 'ntah', 'ntah', 'dia', 'make', 'data', 'orang', 'indo', 'tru', 'dijadiin', 'pinjol', 'kan', 'kita', 'gapernah', 'tau']
944;['loe', 'mau', 'riziek', 'gimana', 'lagi', 'udah', 'buron', 'ngemi', 'di', 'negri', 'orang', 'kena', 'covid', 'masuk', 'penjara', 'loe', 'mau', 'dia', 'mampu', 'sabar', 'setelah', 'kasu', 'chat', 'mesum', 'kebongkar', 'ya', 'drun']
945;['bisa', 'ngak', 'pakd', 'bahasa', 'indonesia', 'aja', 'kasian', 'yg', 'ga', 'bisa', 'basa', 'engress']
946;['spoiler', 'kutipannya', 'menyebutkan', 'tentang', 'presiden', 'ri', 'ke', 'soeharto', 'tidak', 'jela', 'kemudian', 'naskah', 'asli', 'supersemar', 'karena', 'beberapa', 'tahun', 'kemudian', 'setelah', 'perpindahan', 'kekuasaan', 'naskah', 'asli', 'surat', 'ini', 'dinyatakan', 'hilang']
947;['anj', 'pemakan', 'lengkua', 'mulut', 'kalian', 'kune', 'bentar', 'lagi', 'stroke']
948;['suruhan', 'siapa', 'bang']
949;['gaada', 'salahnya', 'sip', 'coba', 'tanya', 'ke', 'pendeta', 'soal', 'hukum', 'agama', 'islam', 'atau', 'tanya', 'ustadz', 'soal', 'hukum', 'agama', 'kristen']
950;['selain', 'kasu', 'munir', 'yang', 'menghebohkan', 'dunia', 'maya', 'bjorka', 'telah', 'bocorkan', 'isi', 'dokumen', 'supersemar', 'dalam', 'kutipan', 'bahasa', 'inggri', 'tentang', 'mantan', 'presiden', 'kedua', 'soeharto']
951;['gak', 'papa', 'ngab', 'benci', 'aja', 'sama', 'si', 'bjorka', 'yg', 'lebih', 'benci', 'org', 'tolol', 'mengagungkan', 'dia', 'hacker', 'underground', 'indo', 'yg', 'udah', 'pada', 'gg', 'di', 'ata', 'dia', 'aja', 'gk', 'banyak', 'cincong']
952;['namanya', 'juga', 'usaha']
953;['banyak', 'akun', 'nya', 'dok', 'bjorka', 'tambah', 'lucu', 'yg', 'asli', 'udh', 'hilang']
954;['pemerintah', 'kita', 'kebingungan', 'mau', 'ngapain', 'jadi', 'mereka', 'hanya', 'bisa', 'memohon', 'kepada', 'twitter', 'untuk', 'penghapusan', 'akun', 'bjorka', 'padah', 'langkah', 'terbaiknya', 'itu', 'memperbaiki', 'keamanan', 'cyber', 'indonesia', 'data', 'yang', 'bocor', 'lebih', 'miliyar']
955;['sebelumnya', 'hacker', 'bjorka', 'juga', 'sempat', 'membocorkan', 'isi', 'dari', 'dokumen', 'supersemar', 'surat', 'perintah', 'sebela', 'maret', 'yang', 'melibatkan', 'mantan', 'presiden', 'indonesia', 'soeharto']
956;['sumpah', 'kalau', 'saya', 'disurvei', 'saya', 'akan', 'tidak', 'setuju', 'sudah', 'mahal', 'siang', 'ini', 'mau', 'isi', 'pertalit', 'spbu', 'kosong', 'semua']
957;['klo', 'ini', 'gmna', 'bang', 'apakah', 'masih', 'bocah']
958;['selain', 'munir', 'hacker', 'bjorka', 'bocorkan', 'isi', 'dokumen', 'supersemar', 'yang', 'libatkan', 'soeharto']
959;['payahlah', 'idupmati', 'idupmati', 'cemen']
960;['yg', 'bener', 'apa']
961;['tulisan', 'kamu', 'bodoh', 'orang', 'bodoh', 'tidak', 'bisa', 'kerja', 'yang', 'malah', 'kamu', 'bela']
962;['tele', 'dia', 'apa', 'bang']
963;['bisa', 'minta', 'tolong', 'nomor', 'pacarku', 'tahun', 'trim']
964;['buzar', 'bazer', 'ndasmu', 'bjorka', 'itu', 'anak', 'ingusan', 'yg', 'pengen', 'diakui', 'jd', 'hacker', 'elu', 'pada', 'gk', 'sadar', 'yg', 'bocor', 'gk', 'cuma', 'data', 'pemerintah', 'data', 'elu', 'juga', 'bocor', 'dan', 'kalian', 'kagum', 'dan', 'atau', 'mengodalakan', 'dia', 'gak', 'wara']
965;['jadilah', 'meski', 'g', 'berguna']
966;['kadrun', 'yg', 'menyanjung', 'bjorka', 'menunjukkan', 'kegoblokan', 'hakiki', 'umat', 'kadrun', 'mau', 'aja', 'dikibulin', 'harapan', 'kosong', 'jd', 'ingat', 'tagar', 'jd', 'ingat', 'ratna', 'sarumpaet', 'operasi', 'plastik', 'jd', 'ingat', 'prabowo', 'pilihan', 'ijtima', 'ulama']
967;['haii', 'pliss', 'you', 'hack', 'data', 'ganjarpranowo', 'pliss', 'tq']
968;['akun', 'twitter', 'yg', 'aslinya', 'yg', 'mana', 'weeee']
969;['loo', 'yg', 'punya', 'negara', 'ini', 'kan', 'gua', 'suka', 'dong', 'begitulah', 'kira', 'ungkapan', 'dalam', 'hatinya']
970;['hallo', 'erick', 'hai', 'cunul']
971;['kalo', 'ga', 'digituin', 'ga', 'akan', 'mau', 'berbenah']
972;['cepat', 'banget', 'ilangnya']
973;['disuspend', 'lagi']
974;['apasih', 'so', 'asik']
975;['mereka', 'hanya', 'bisa', 'main', 'blokir', 'an', 'dsni', 'pemerintah', 'kta', 'bner', 'bner', 'di', 'pantatin', 'sma', 'bjorka', 'brpa', 'kalipun', 'pm', 'indo', 'ngehapu', 'akunnya', 'si', 'bjorka', 'gua', 'yakin', 'ga', 'lgsung', 'ditakedown', 'harusnya', 'mreka', 'mulai', 'mengatur', 'rencana', 'tntng', 'keamanan', 'cyber', 'hadeh', 'pemerintah', 'kta', 'malu', 'in', 'sma']
976;['buat', 'skrg', 'lagi', 'di', 'privat']
977;['lagi', 'istirahat', 'dulu']
978;['iye', 'tpi', 'itu', 'web', 'officialni', 'si', 'bjorka']
979;['bisa', 'bisa', 'negara', 'sudah', 'balik', 'nama', 'layaknya', 'bpkb']
980;['kalah', 'k', 'ngece', 'mang', 'empud', 'mah', 'ka', 'tukang', 'kekeur', 'teh', 'tar', 'ketauan', 'isi', 'dompet', 'mamang', 'baru', 'nyaho']
981;['lahh', 'lu', 'kenap', 'bambang']
982;['dampak', 'dari', 'kenaikan', 'biaya', 'produksi', 'kopi', 'dan', 'gula', 'akan', 'berpengaruh', 'pada', 'harga', 'beli', 'kopi', 'dan', 'gula', 'karena', 'harganya', 'naik', 'maka', 'prose', 'penyajiannya', 'pun', 'lambat', 'laun', 'akan', 'mengabaikan', 'takaran', 'standar', 'kopigula', 'sehingga', 'kualita', 'cita', 'rasanya', 'akan', 'menurun']
983;['sotau']
984;['perasaan', 'case', 'nya', 'ini', 'org', 'problematik', 'sebelum', 'adanya', 'bjorka', 'rame', 'woro', 'woro', 'manasin', 'publik', 'deh', 'tp', 'lo', 'liat', 'dah', 'spek', 'nya', 'aja', 'kaga', 'banget', 'buat', 'jd', 'menteri', 'masih', 'banyak', 'ko', 'org', 'kompeten', 'yg', 'harusnya', 'ada', 'diposisi', 'itu', 'bukan', 'lulusan', 'sarjana', 'ekonomi', 'yg', 'baca', 'kodingan', 'aja', 'kaga', 'paham']
985;['gk', 'bakal', 'si', 'stvpid', 'mau', 'bantu', 'bongkar', 'kasu', 'mbo', 'ngapain', 'dia', 'obrak', 'abrik', 'data', 'yg', 'sudsh', 'tersebar', 'hacker', 'bloon', 'tuh', 'namanya']
986;['jual', 'data', 'rakyat', 'indo', 'emng', 'laku', 'kan', 'enggk', 'laku', 'broo', 'pemerintah', 'malah', 'lepa', 'tngan', 'maka', 'nya', 'dia', 'jebol', 'data', 'pemerintah', 'data', 'kita', 'sudah', 'jebol', 'dari', 'ma', 'broo', 'sebelum', 'dia', 'bobol', 'data', 'kita', 'sudah', 'ada', 'yg', 'bobol', 'duluan', 'dan', 'di', 'jual']
987;['orang', 'yang', 'ngetawain', 'dan', 'ngejok', 'bjorka', 'mungkin', 'dia', 'blm', 'ketemu', 'langsung', 'sebaik', 'dan', 'sehumbl', 'itu', 'dia', 'sama', 'orang', 'baru', 'salah', 'satunya', 'ke', 'gw', 'yg', 'awalnya', 'gw', 'fan', 'sama', 'dia', 'malah', 'bisa', 'jadi', 'temen', 'semua', 'yg', 'udh', 'ketemu', 'bjorka', 'pasti', 'sependapat', 'sama', 'gw']
988;['kalau', 'di', 'jepang', 'ada', 'rasa', 'malu', 'dan', 'mengumumkan', 'pengunduran', 'diri', 'eit', 'padah', 'disana', 'yang', 'punya', 'salah', 'itu', 'bawahannya']
989;['break', 'news', 'break', 'news', 'akun', 'ke', 'bjorka', 'telah', 'tersuspend', 'lagi', 'ata', 'permintaan', 'pemerintah', 'indonesia', 'tapi', 'dia', 'menyebutkan', 'bahwa', 'akunnya', 'akan', 'kembali', 'tapi', 'membutuhkan', 'waktu']
990;['ini', 'maksudnya']
991;['konyol']
992;['ngeri', 'negara', 'diatur', 'oleh', 'orang', 'yang', 'tak', 'taat', 'aturan', 'dari', 'niat', 'tak', 'bayar', 'pajak', 'bikin', 'perusahaan', 'cangkang', 'berbisni', 'vcr', 'sampai', 'aturan', 'sendiri', 'vaksin', 'dilanggar', 'bikin', 'aturan', 'sendiri', 'berbisni', 'sendiri', 'langgar', 'sendiri', 'kacau', 'terima', 'kasih', 'pandora', 'paper', 'dan']
993;['ide', 'judul', 'skripsi', 'manajemen', 'sumberdaya', 'manusia', 'follow', 'ig', 'for', 'more', 'utk', 'updat', 'judul', 'dll', 'yahhhh']
994;['anggaran', 'negara', 'kan', 'gede', 'cuma', 'buat', 'nyari', 'doang', 'masa', 'ga', 'sanggup', 'hahahahaha', 'xd']
995;['akun', 'barunya', 'pun', 'kena', 'lagi', 'sekarang']
996;['hari', 'ini', 'dia', 'buat', 'dan', 'hari', 'ini', 'juga', 'dia', 'kena', 'suspend', 'lg', 'walah', 'walahhh']
997;['takut', 'lah', 'mereka', 'faham', 'kok']
998;['wah', 'akun', 'nya', 'kena', 'suspend', 'sama', 'twitter', 'pasti', 'yg', 'report', 'banyak', 'tuh', 'dari', 'kalangan', 'pemerintahan']
999;['di', 'bssn', 'pernah', 'ada', 'jendral', 'polisi', 'bintang', 'tr', 'dinonaktifkan', 'karena', 'bicara', 'konspirasi', 'itu', 'jendral', 'hebat', 'jaringan', 'hackernya', 'dunia', 'amp', 'skrg', 'jendral', 'itu', 'akpol', 'nganggur', 'nonjob', 'ata', 'perintah', 'istana', 'pdhl', 'masih', 'duatiga', 'tahun', 'lg', 'pensiun', 'bjorka']
1000;['karena', 'banyak', 'yg', 'nganggur', 'dan', 'kurang', 'wawasancoba', 'sibuk', 'tentu', 'ceritanya', 'lain']
1001;['panjang', 'nya', 'jenggot', 'tdk', 'menjamin', 'panjang', 'nya', 'akal']
1002;['dan', 'dari', 'di', 'jebol', 'data', 'pemerintah', 'malah', 'dapet', 'dukungan', 'rakyat', 'indonesia', 'ingat', 'broo', 'manusia', 'punya', 'rasa', 'bangga', 'diri', 'semakin', 'di', 'puja', 'semakin', 'semangat', 'dan', 'dia', 'juga', 'punya', 'temen', 'orng', 'indo']
1003;['gambar', 'mangkuk', 'ayam', 'jago', 'diabadikan', 'menjadi', 'googl', 'doodl', 'begini', 'kisahnya']
1004;['iya', 'deh', 'makasihhhhhhh']
1005;['anj', 'serem', 'wkwkw']
1006;['kepoh', 'persada', 'indah', 'rumah', 'murah', 'subsidi', 'terbaik', 'di', 'dalam', 'lingkungan', 'pedesaan', 'yang', 'asri', 'dan', 'dekat', 'dengan', 'kota', 'purwodadi', 'grobogan', 'jawa', 'tengah', 'pembiayaan', 'di', 'dukung', 'oleh', 'bri', 'semakin', 'memudahkan', 'anda', 'dalam', 'memiliki', 'rumah', 'cantik', 'ini']
1007;['hacker', 'bjorka', 'bungkam', 'denni', 'siregar', 'data', 'ani', 'baswedan', 'pun', 'dibongk', 'sudah', 'selesaikan', 'banjir', 'dan', 'macet', 'tuan']
1008;['sekarang', 'netizen', 'sotoy', 'soksokan', 'menilai', 'dan', 'merendahkan', 'termasuk', 'juga', 'public', 'figur', 'memang', 'selama', 'ini', 'kalian', 'bisa', 'apa', 'buat', 'lindungi', 'rakyat', 'lumayan', 'kan', 'ada', 'dia', 'yg', 'bikin', 'para', 'pejabat', 'tersipusipu', 'sampai', 'terpipispipi']
1009;['alasan', 'simpl', 'dia', 'ambil', 'data', 'rakyat', 'indonesia', 'teru', 'dia', 'minta', 'tebu', 'kepemerintah', 'malah', 'sama', 'pemerintah', 'enggk', 'di', 'tebu', 'dan', 'lepa', 'tanggung', 'jawab', 'disitu', 'dia', 'enggk', 'dapet', 'duit', 'jadi', 'skrang', 'sekalian', 'di', 'jebol', 'rahasia', 'pemerintah', 'untuk', 'duit', 'disini', 'sudah', 'pasti', 'ada']
1010;['mantan', 'kopassu', 'yo', 'ga', 'aneh', 'sandi', 'rahasia']
1011;['tuh', 'mbak']
1012;['akun', 'bjorka', 'kena', 'suspend', 'lg', 'wkwkwk', 'katanya', 'tenang', 'itu', 'tak', 'akan', 'lama', 'lagi', 'love', 'you', 'all']
1013;['ide', 'judul', 'skripsi', 'manajemen', 'pemasaran', 'follow', 'ig', 'for', 'more', 'untuk', 'updat', 'judul', 'dll', 'yahhhh']
1014;['gw', 'bru', 'lihat', 'jam', 'senin', 'dia', 'kirim', 'data', 'pak', 'ani', 'di', 'telegram']
1015;['persen', 'lebih', 'murah', 'dari', 'harga', 'pasar', 'internasion', 'jokowi', 'pantau', 'opsi', 'impor', 'minyak', 'dari', 'rusia', 'selengkapnya']
1016;['pemerintah', 'indonesia', 'galak', 'amat', 'ya', 'akun', 'ke', 'ilang', 'lagi', 'hey', 'dibayar', 'berapa', 'sih', 'buat', 'lagi', 'yuk']
1017;['a', 'thread', 'kebaya', 'anak', 'modern', 'kutubaru', 'motif', 'bunga']
1018;['ketika', 'hacker', 'bjorka', 'trand', 'di', 'indonesia', 'inilah', 'kondisi', 'netizen', 'sekarang', 'video', 'tni', 'ad', 'ariel', 'pssi', 'munir', 'heker']
1019;['anjirrr', 'twitter', 'akun', 'baru', 'bjorxan', 'part', 'di', 'tangguh', 'kan', 'twitter', 'yang', 'pertama', 'udh', 'di', 'tangguhkan', 'makin', 'seru', 'nihh', 'nunggu', 'lagi', 'ahhh', 'akun', 'part', 'nya', 'wkwkk']
1020;['dari', 'merauk', 'sampai', 'sabang']
1021;['bjorka', 'bukan', 'orang', 'jahatdia', 'ingin', 'menegakkan', 'keadilan', 'untuk', 'indonesia']
1022;['siap', 'sir', 'kami', 'tunggu', 'kembali', 'mu']
1023;['dieluelukan', 'sebagai', 'the', 'new', 'hero', 'bagi', 'masyarakat', 'yang', 'merindukan', 'keadilan', 'di', 'negeri', 'ini', 'ini', 'menjadi', 'tamparan', 'kera', 'kepada', 'negara', 'bahwa', 'rakyat', 'sudah', 'tidak', 'bisa', 'dibohongi', 'lagi', 'tetap', 'wara']
1024;['bacot', 'lu', 'bejorka']
1025;['baru', 'jg', 'sehari', 'udh', 'geter']
1026;['ada', 'apa', 'belum', 'berapa', 'lama', 'muncul', 'lagi', 'akun', 'langsung', 'di', 'tangguhkan', 'lagi', 'sepertinya', 'ada', 'yang', 'panik']
1027;['ga', 'malu', 'apa', 'pihak', 'blok', 'akun', 'bjorka', 'lagi', 'dasar', 'kumpulan', 'orang', 'idiotdari', 'sini', 'saya', 'paham', 'bahwasanya', 'negara', 'indonesia', 'sedang', 'tidak', 'baikbaik', 'di', 'pegang', 'pemerintah', 'sekarang']
1028;['kuylah', 'serang', 'deh', 'pirtimini', 'kasu', 'pilisi', 'ga', 'kelar', 'drama', 'mulu', 'berkelitkelit', 'belibet', 'pleas', 'serang', 'aja', 'mreka', 'biar', 'cepet', 'kelar', 'beban', 'negara', 'aja']
1029;['bjorka', 'kembali', 'buka', 'akun', 'baru', 'usai', 'ditangguhkan', 'twitter', 'usai', 'mengaku', 'mempunyai', 'data', 'rahasia', 'milik', 'presiden', 'jokowi', 'dan', 'membeberkan', 'dalang', 'pembunuhan', 'aktivi', 'ham', 'munir', 'pada', 'minggu', 'septemb', 'akun', 'lamanya', 'ditangguhkan', 'pihak', 'twitter']
1030;['kalau', 'ngurusin', 'kita', 'bisa', 'berkesimpulan', 'bahwa', 'adalah', 'hacker', 'asal', 'indonesia', 'tapi', 'bukan', 'itu', 'poinnya', 'poinnya', 'adalah', 'rakyat', 'sudah', 'merasa', 'bodo', 'amat', 'dengan', 'pemerintahnya', 'dengan', 'begitu', 'mereka', 'cari', 'jalan', 'tiku', 'untuk', 'mengungkap', 'kebohongan', 'tersebut']
1031;['pengen', 'minta', 'link', 'telenya', 'dong']
1032;['udah', 'x', 'akun', 'bjorka', 'ditangguhkan', 'btw', 'saya', 'udah', 'x', 'vaksin', 'tapi', 'sakit', 'mah', 'tetep', 'sakit', 'kayak', 'biasanya', 'malah', 'lebih', 'parah', 'kira', 'kenapa', 'ya']
1033;['udah', 'bang', 'cape', 'omong', 'ama', 'ginian']
1034;['di', 'ban', 'lagi', 'dong', 'wkwkkeminfo', 'panik', 'ya', 'sampek', 'diban', 'lagi', 'baru', 'beberapa', 'jam', 'aktifguna', 'diban', 'untuk', 'apa', 'bakalan', 'muncul', 'lagi', 'dan', 'untuk', 'pelanggaran', 'apa', 'sampai', 'diban', 'apakah', 'siap', 'untuk', 'diserang', 'semua', 'system']
1035;['dimana', 'keadilan', 'bagi', 'seluruh', 'rakyat', 'indonesia', 'pelaku', 'sara', 'edi', 'mulyadi', 'yang', 'merendahkan', 'kaum', 'minorita', 'seenaknya', 'sesukanya', 'di', 'voni', 'bulan', 'hari', 'ini', 'jela', 'massa', 'adat', 'dayak', 'tak', 'terima']
1036;['bikin', 'lagi', 'bjorka', 'kamu', 'kan', 'hacker', 'aku', 'mendukungmu']
1037;['alhamdulillah', 'saya', 'jg', 'tidak', 'vaksin', 'tp', 'bisa', 'melalang', 'buana', 'kesana', 'kemari']
1038;['cek', 'produk']
1039;['sempat', 'hilang', 'kini', 'akun', 'twitter', 'dan', 'telegram', 'bjorka', 'muncul', 'kembali', 'dan', 'dox', 'sejumlah', 'nama', 'besar']
1040;['data', 'bocor', 'cari']
1041;['wkwkwk', 'ga', 'pooll']
1042;['bjorka', 'disebutsebut', 'merupakan', 'hacker', 'internasioan', 'sebab', 'bjorka', 'kerap', 'menuliskan', 'tweettweetnya', 'menggunakan', 'bahasa', 'inggri']
1043;['sinc', 'when', 'tweet', 'in', 'persija', 'jkt', 'dooooh']
1044;['tak', 'gentar', 'hacker', 'bjorka', 'kembali', 'buka', 'akun', 'baru', 'usai', 'di', 'tangguhkan', 'twitter']
1045;['bjorka', 'jebol', 'data', 'negara', 'mahfud', 'saya', 'pastikan', 'itu', 'memang', 'terjadi']
1046;['bjorka', 'beri', 'kado', 'mani', 'untuk', 'menkominfo', 'johnni', 'gerard', 'plate', 'di', 'hari', 'ulang', 'tahunnya', 'pertanda', 'perang', 'dimulai']
1047;['lapor', 'polisi', 'aja', 'ma', 'biar', 'ga', 'tuman', 'manusia', 'ga', 'beradab', 'itu']
1048;['mana', 'vac', 'id', 'nya', 'sama', 'semua', 'lagi']
1049;['sok', 'sok', 'bahasa', 'inggri', 'biar', 'argumennya', 'lebih', 'kuat', 'tapi', 'jadinya', 'malah', 'ga', 'jela', 'ini', 'ngomong', 'bahasa', 'apa', 'wkowokwko', 'pake', 'bahasa', 'indo', 'aja', 'ma', 'mend', 'daripada', 'malah', 'keliatan', 'makin', 'gajela', 'argumennya']
1050;['kelaszz']
1051;['akun', 'twetter', 'bjorkan', 'lenyap']
1052;['kwkwkwk', 'welcom', 'back']
1053;['untung', 'bukan', 'made', 'in', 'sambool']
1054;['seorang', 'ibu', 'seband', 'dg', 'menteri', 'pak', 'jkw', 'yg', 'sekarang', 'apalagi', 'sekela', 'menteri', 'yg', 'di', 'katakan', 'idiot', 'oleh']
1055;['fxg', 'in', 'bando', 'includ', 'jepit', 'rambut', 'fashion', 'korea', 'pola', 'mutiara', 'wanita', 'dewasa', 'bnd', 'bisa', 'cod']
1056;['pala', 'bapak', 'kau', 'backakun', 'fake', 'buatan', 'buzzerp']
1057;['yang', 'kasu', 'marsinah', 'itu', 'udah', 'ketauan', 'blm', 'sih', 'pembunuhnya']
1058;['mabe', 'polri', 'belum', 'melakukan', 'langkah', 'hukum', 'terhadap', 'akun', 'twitter', 'akun', 'itu', 'mengeklaim', 'telah', 'mereta', 'datadata', 'terkait', 'kependudukan', 'indonesia', 'termasuk', 'surat', 'menyurat', 'milik', 'presiden', 'jokowi', 'dan', 'surat', 'bin']
1059;['tidak', 'hanya', 'membocorkan', 'siapa', 'pelaku', 'pembunuhan', 'munir', 'melainkan', 'menceritakan', 'kronologinya']
1060;['bg', 'semoga', 'lu', 'org', 'baik', 'sebagai', 'perantara', 'org', 'kecil', 'yang', 'di', 'injak', 'sma', 'org', 'yg', 'hya', 'mementingkan', 'uang', 'dari', 'pada', 'keadilan', 'bg']
1061;['ini', 'tweet', 'terlucu', 'yg', 'gue', 'baca', 'hari', 'ini']
1062;['ku', 'yakin', 'kak', 'dia', 'orang', 'terbaik']
1063;['wkwkwk', 'rame', 'ini']
1064;['ngakakk']
1065;['pm', 'sept', 'di', 'suspend', 'lagi', 'akunnya']
1066;['yang', 'di', 'spill', 'pemain', 'lama', 'kyknya', 'bang']
1067;['madu', 'hutan', 'murni', 'yang', 'terjaga', 'kemurniannya']
1068;['oh', 'jadi', 'kalau', 'punya', 'aks', 'boleh', 'ya', 'dishar', 'kirain', 'yg', 'bakalan', 'ngasib', 'tau', 'nya', 'kemenk', 'atau', 'dink']
1069;['rekomendasi', 'kao', 'tee', 'crop', 'korea', 'fashion', 'baju', 'wanita', 'croptop', 'cotton', 'combat', 's', 'tidak', 'nerawang', 'klik', 'disini']
1070;['anjay', 'mabar']
1071;['astaga', 'akunnya', 'di', 'ban', 'lgi']
1072;['dpt', 'salam', 'ni', 'dari', 'eko', 'minta', 'tolong', 'diviralkan', 'juga', 'katanya', 'spt']
1073;['masa', 'bapak', 'nggak', 'senang', 'orang', 'antipati', 'di', 'lengser', 'kan', 'jangan', 'jangan', 'bapack', 'sama', 'bego', 'nya', 'kayak', 'beliau']
1074;['akunnya', 'dia', 'masih', 'ditangguhkan']
1075;['baju', 'tidur', 'wanita', 'baju', 'celana', 'beli', 'disini', 'viral']
