;text
40;['aslinya', 'sih', 'salah', 'tangkap', 'daripada', 'malu', 'kan', 'yak', 'wong', 'bjorka', 'masih', 'gentayangan']
41;['ok', 'gaess', 'saya', 'berharap', 'kepada', 'kalian', 'semua', 'tinggalkan', 'fenomena', 'bjorka', 'biarkan', 'itu', 'pemerintah', 'yg', 'punya', 'urusan', 'pekerjaan', 'nya', 'tetap', 'foku', 'turunkan', 'harga', 'bbm', 'dan', 'pantau', 'teru', 'kasu', 'sambo', 'bjorka', 'umpan', 'lambung']
42;['bgmn', 'sih', 'sebenarnya', 'data', 'hasil', 'pilpr', 'silam']
43;['bukankah', 'idul', 'adha', 'sdh', 'lewat']
44;['sudah', 'kuduga']
45;['dunia', 'panggung', 'sandiwara']
46;['selamat', 'datang', 'kegelapan', 'selamat', 'datang', 'para', 'penipu', 'bangsa', 'dan', 'negara']
47;['pemuda', 'asal', 'madiun', 'unggah', 'hasil', 'retasan', 'bjorka', 'ke', 'akun', 'telegram', 'kini', 'dijerat', 'pasal', 'uu', 'ite']
48;['ma', 'biyorka', 'bukanya', 'org', 'madiun', 'ya']
49;['berdarkan', 'analisa', 'dari', 'inteleg', 'cyber', 'darktrack', 'ini', 'historinya', 'mah', 'punya', 'akun', 'salah', 'satunya', 'akun', 'yg', 'publish', 'data', 'person', 'di', 'sosm']
50;['kamu', 'itu', 'mirif', 'mirif', 'mobna', 'esemka', 'kawan', 'sama', 'sama', 'ghoib', 'bedanya', 'cuman', 'dikit', 'dimana', 'kamu', 'manusia', 'pale', 'dicari', 'oleh', 'polisi', 'seantero', 'negeri', 'sedang', 'mobna', 'esemka', 'konon', 'katanya', 'sudah', 'di', 'pesan', 'dan', 'dicari', 'lebih', 'dari', 'pemesan']
51;['pertamina', 'dalam', 'bidikan']
52;['bang', 'editin', 'gue', 'dong', 'seakan', 'akan', 'gue', 'ini']
53;['wokeh', 'ditunggu', 'ajalah']
54;['mantapp', 'dan', 'top', 'markotopbongkar', 'teruss']
55;['diduga', 'penyedia', 'channel', 'bjorkan', 'mah', 'ditetapkan', 'sebagai', 'tersangka', 'peretasan']
56;['dia', 'mendukung', 'dengan', 'masuk', 'grup', 'bjorkan']
57;['pengunggah', 'konten', 'hacker', 'bjorka', 'tidak', 'ditahan', 'dedi', 'juga', 'mengonfirmasi', 'bahwa', 'mah', 'ini', 'berperan', 'sebagai', 'pengunggah', 'konten', 'atau', 'informasi', 'dari', 'hacker', 'bjorka', 'ke', 'channel', 'telegram', 'bjorkan', 'dengan', 'menggunakan', 'gawai']
58;['hayu', 'atuh', 'buruan', 'anyiii']
59;['absolut', 'seseorang', 'yg', 'membongkar', 'kebohongan', 'adalah', 'pahlawan', 'bagi', 'rakyat', 'yg', 'dibohongi']
60;['selalu', 'aku', 'pantau', 'good', 'job']
61;['kpk', 'request', 'nih', 'kayaknya', 'waktu', 'dan', 'tempat']
62;['cepetan']
63;['disini', 'kami', 'sebagai', 'rakyat', 'kecil', 'hanya', 'mengikuti', 'pemimpin', 'yang', 'mengikuti', 'norma', 'ke', 'pancasilla', 'bukan', 'soal', 'profesi', 'jabatan', 'ini', 'tentang', 'harga', 'diri', 'dan', 'kehormatan', 'ata', 'berdirinya', 'nkri', 'irsoekarno']
64;['next', 'kpk', 'dong']
65;['kmn', 'ya', 'x', 'aja', 'tau']
66;['siappp']
67;['di', 'publish', 'dimana']
68;['ditunggu', 'ma', 'bjorka']
69;['lord', 'ada', 'yg', 'ghibah', 'hhh']
70;['yakin', 'orang', 'ini', 'pale', 'nkri', 'kuliti', 'napa', 'orang', 'inj']
71;['lanjutkan', 'brooo']
72;['aku', 'butuh', 'penjelasan', 'untuk', 'mengikutimu', 'apa', 'tujuan', 'mu', 'yang', 'sebenarnya', 'dibalik', 'mental', 'anjingmu']
73;['kayaknya', 'fake', 'account', 'gak', 'se', 'bene', 'bjorka', 'yg', 'kemaren']
74;['kalau', 'itu', 'kebaikan', 'untuk', 'indonesia', 'sah', 'aja', 'bro', 'tapi', 'kalau', 'kamu', 'bukan', 'orang', 'indonesiamend', 'jangan', 'di', 'teruskan', 'brohhhh']
75;['semangat']
76;['apakah', 'akun', 'ini', 'real', 'lord', 'bjorka']
77;['bjorka', 'udah', 'kayak', 'resti', 'mati', 'satu', 'tumbuh', 'seribu', 'hahaha']
78;['bisa', 'bobol', 'world', 'bank', 'dan', 'imf', 'intern', 'monetari', 'fun', 'gak', 'ayo', 'bantu', 'basmi', 'praktik', 'ribawi', 'kasian', 'dunia', 'inflasi', 'terusterusan', 'tiap', 'taun', 'basmi', 'pusat', 'ribawi', 'di', 'world', 'bank', 'imf']
79;['ini', 'fake', 'akun', 'guy']
80;['publish', 'kpk']
81;['saya', 'sedang', 'mengamati', 'anda']
82;['kasih', 'kejutan', 'warga', 'twitter', 'bisa', 'om', 'misal', 'ungkap', 'kasu', 'dan', 'banyak', 'lagi', 'kasu', 'yg', 'lain']
83;['bikin', 'pemerintah', 'ketar', 'ketir', 'nggak', 'tugua', 'nyimak', 'aja', 'kawan']
84;['waspada', 'pengalihan', 'isu']
85;['gerombolan', 'pemala', 'pingin', 'makan', 'enak']
86;['mantap', 'teru', 'kan', 'kawan']
87;['walaupun', 'tanpa', 'pasangitu', 'dapat', 'membuat', 'ku', 'hidup', 'beba', 'walaupun', 'masih', 'saja', 'dimarahi', 'oleh', 'orang', 'tua', 'ku', 'viral']
