,Topic,Word,P
196,0,tdk,0.0017783887
197,0,dukung,0.0017567772
198,0,mana,0.0017500184
199,0,polri,0.0017440128
200,0,gua,0.0017287524
201,0,muhammad,0.0017000173
202,0,elu,0.0016493453
203,0,netizen,0.0016435243
204,0,kini,0.001625342
205,0,apakah,0.0016223262
206,0,membantu,0.001617451
207,0,gk,0.0015654614
208,0,sebagai,0.0015584588
209,0,sebenarnya,0.0015443907
210,0,follow,0.0015300214
211,0,teh,0.0015136506
212,0,nonton,0.0014776802
213,0,for,0.0014741042
214,0,munir,0.001470656
215,0,satu,0.0014679012
216,0,nomor,0.0014414047
217,0,tidak,0.0014395869
218,0,bbm,0.001432265
219,0,hi,0.0013980371
220,0,jasa,0.0013891258
221,0,nanti,0.0013890868
222,0,lainnya,0.0013644948
223,0,x,0.0013602285
224,0,jika,0.0013570625
225,0,pemerintahan,0.0013473602
226,0,pale,0.0013442335
227,0,dapat,0.0013391984
228,0,video,0.0013188603
229,0,menteri,0.0013185107
230,0,ketarketir,0.0013139552
231,0,kasih,0.0012874855
232,0,beberapa,0.0012638479
233,0,lihat,0.0012614809
234,0,berapa,0.0012474499
235,0,dokumen,0.0012372811
236,0,kadrun,0.0012348008
237,0,panjang,0.0012096863
238,0,saat,0.0011977785
239,0,dr,0.0011960024
240,0,allah,0.0011945599
241,0,bgt,0.0011798118
242,0,baca,0.0011669256
243,0,dulu,0.0011618065
244,0,pent,0.0011538938
245,0,kepada,0.0011306553
246,0,banyak,0.0011159711
247,0,tp,0.0010767176
248,0,jawa,0.0010718401
249,0,kang,0.0010689115
250,0,aneh,0.0010410516
251,0,yuk,0.0010371425
252,0,waktu,0.0010255052
253,0,yg_asli,0.0010159892
254,0,bro,0.0010075092
255,0,negeri,0.00096888415
256,0,menurut,0.0008789928
257,0,ternyata,0.00087888236
258,0,presiden_jokowi,0.00087506406
259,0,harga_bbm,0.0008470036
260,0,baik,0.0008407632
261,0,giliran,0.00081305375
262,0,respon,0.0008123886
263,0,kenapa,0.00080931716
264,0,booster,0.00079809746
265,0,kasu_sambo,0.00079551875
266,0,wa,0.0007939065
267,0,beneran,0.00079212297
268,0,gini,0.0007821145
269,0,sabar,0.000767919
270,0,blm,0.000763252
271,0,padah,0.000761884
272,0,selalu,0.0007453915
273,0,tanggapan,0.0007407963
274,0,berani,0.00071659917
275,0,malah,0.000710555
276,0,ani,0.0007025249
277,0,order,0.0007017816
278,0,tak,0.00070137763
279,0,ngapain,0.0006971783
280,0,sampai,0.0006895102
281,0,youtub,0.0006866803
282,0,dok,0.00068192184
283,0,milik,0.000656945
284,1,ya,0.025287516
285,1,hacker_bjorka,0.020145768
286,1,di,0.018011412
287,1,ini,0.017588072
288,1,bisa,0.016670901
289,1,yg,0.013649115
290,1,yuk,0.0111045465
291,1,pasti,0.0107565755
292,1,aja,0.010215975
293,1,yg_asli,0.009585972
294,1,asli,0.009513246
295,1,dan,0.009149556
296,1,lu,0.00895242
297,1,akun,0.008895279
298,1,yang,0.008755154
299,1,kasu_sambo,0.008599206
300,1,orang,0.008519712
301,1,hacker,0.008484077
302,1,juga,0.008371326
303,1,harga_bbm,0.008132847
304,1,pemerintah,0.008095053
305,1,masih,0.007700437
306,1,beneran,0.007640059
307,1,kan,0.0076089515
308,1,sebenarnya,0.0073710876
309,1,sekarang,0.0071970006
310,1,emang,0.007156128
311,1,ga,0.0070122583
312,1,punya,0.006817904
313,1,gak,0.006804581
314,1,dulu,0.0065397243
315,1,sama,0.0063687884
316,1,harga,0.00633614
317,1,baru,0.006085102
318,1,ke,0.0060810107
319,1,nih,0.0060615237
320,1,jadi,0.006052399
321,1,dengan,0.0060392967
322,1,tangan,0.00588365
323,1,bang,0.0058652074
324,1,indonesia,0.005760208
325,1,presiden,0.005729163
326,1,gini,0.0056779
327,1,respon,0.0055998233
328,1,munir,0.005467933
329,1,membuat,0.005440527
330,1,aksi,0.0053917356
331,1,kita,0.0050507416
332,1,mantap,0.005019915
333,1,senin,0.00487352
334,1,dok,0.0048333476
335,1,sudah,0.0047956193
336,1,lagi,0.004783152
337,1,mau,0.00476888
338,1,booster,0.004727126
339,1,bener,0.0047145453
340,1,bikin,0.004703249
341,1,semakin,0.004550706
342,1,blm,0.0045506186
343,1,telegram,0.004547363
344,1,padah,0.0045318557
345,1,order,0.004524209
346,1,elu,0.0045093154
347,1,nya,0.0044995868
348,1,sabar,0.0043849843
349,1,siapa,0.0043713893
350,1,banget,0.0043552266
351,1,asal,0.0043175854
352,1,dapet,0.0043158466
353,1,buat,0.0043119965
354,1,dapat,0.004255902
355,1,real,0.0042492496
356,1,saat,0.004199479
357,1,tak,0.0041721393
358,1,amat,0.0041446956
359,1,iya,0.00413781
360,1,ada,0.004115335
361,1,berapa,0.0040919697
362,1,viral,0.0040495377
363,1,malah,0.0040476383
364,1,lainnya,0.004029686
365,1,bro,0.0040272125
366,1,sih,0.003989008
367,1,kali,0.0039885375
368,1,madiun,0.0039397366
369,1,untuk,0.003856485
370,1,berani,0.0038303263
371,1,percaya,0.0038141988
372,1,biar,0.003768509
373,1,bjorkan,0.0037349768
374,1,nonton,0.0037209375
375,1,ngopi,0.0036618442
376,1,udah,0.0036601243
377,1,sambo,0.0036519945
378,1,polri,0.0036449903
379,1,tuh,0.0036181754
380,1,jd,0.0035601356
381,1,banyak,0.0035539337
382,1,oleh,0.0035312523
383,1,para,0.003498862
384,1,teh,0.003497272
385,1,mah,0.0034629435
386,1,baca,0.0034528717
387,1,pemuda,0.003446158
388,1,jika,0.0034241304
389,1,atau,0.0034145904
390,1,org,0.003412454
391,1,wa,0.003368002
392,1,negeri,0.0033479906
393,1,karena,0.0033393654
394,1,apakah,0.0033383782
395,1,dalam,0.0033352424
396,1,ngapain,0.0032945697
397,1,sampai,0.003254861
398,1,ketarketir,0.0032541726
399,1,belajar,0.0032179768
400,1,denni,0.0032130014
401,1,lihat,0.0031692286
